sample_id,modality,selected_window_abs_effect,random_window_abs_effect
01,text,0.05504250526428223,0.060049474239349365
01,audio,0.015867173671722412,0.008040428161621094
01,vision,0.01057654619216919,0.004260122776031494
02,text,0.20248755812644958,0.1703234612941742
02,audio,0.02253618836402893,0.00014597177505493164
02,vision,0.03237670660018921,0.031820595264434814
03,text,0.06395429372787476,0.015015602111816406
03,audio,0.012158066034317017,0.004020363092422485
03,vision,0.011029064655303955,0.005735903978347778
04,text,0.5503475666046143,0.3611573874950409
04,audio,0.06033533811569214,0.008613348007202148
04,vision,0.043353915214538574,0.01624995470046997
05,text,0.09410881996154785,0.016280412673950195
05,audio,0.05236208438873291,0.005747854709625244
05,vision,0.1452980637550354,0.02500736713409424
06,text,0.12316310405731201,0.034911513328552246
06,audio,0.00813448429107666,0.00013822317123413086
06,vision,0.011742353439331055,0.009787142276763916
07,text,0.1213151216506958,0.035346150398254395
07,audio,0.014381229877471924,2.2113323211669922e-05
07,vision,0.06279420852661133,0.0006898641586303711
08,text,0.26335492730140686,0.05811715126037598
08,audio,0.023314297199249268,0.021411240100860596
08,vision,0.011375784873962402,0.0013280510902404785
09,text,0.0027686357498168945,0.0030471086502075195
09,audio,0.0007017254829406738,0.0007017254829406738
09,vision,0.0009714365005493164,0.0003038644790649414
10,text,0.485734224319458,0.0003829002380371094
10,audio,0.0006017684936523438,0.0004982352256774902
10,vision,0.0016170740127563477,0.0002008676528930664
11,text,0.9088382124900818,0.10923522710800171
11,audio,0.0006606578826904297,0.00015151500701904297
11,vision,0.004061460494995117,0.0020279884338378906
12,text,0.11094772815704346,0.028226852416992188
12,audio,0.0031429529190063477,0.000506281852722168
12,vision,0.005892157554626465,0.002844393253326416
13,text,0.03903892636299133,0.016344070434570312
13,audio,0.007083117961883545,0.006165117025375366
13,vision,5.960464477539063e-08,0.0
14,text,0.15968114137649536,0.040246397256851196
14,audio,0.04697275161743164,0.005493760108947754
14,vision,0.06767100095748901,0.0003571510314941406
15,text,0.1633419394493103,0.07310396432876587
15,audio,0.05651867389678955,0.036567747592926025
15,vision,0.028704345226287842,0.016984939575195312
16,text,0.005160808563232422,0.0006945133209228516
16,audio,9.936094284057617e-05,6.61611557006836e-05
16,vision,0.000274658203125,0.00014460086822509766
17,text,0.03522700071334839,9.679794311523438e-05
17,audio,0.001859903335571289,3.4928321838378906e-05
17,vision,0.006101489067077637,0.00029790401458740234
18,text,0.2224842607975006,0.039800167083740234
18,audio,0.010062873363494873,0.002543330192565918
18,vision,0.026870906352996826,0.0020666122436523438
19,text,0.368041455745697,0.024649739265441895
19,audio,0.03965640068054199,0.0013561844825744629
19,vision,0.06915068626403809,0.0007279515266418457
20,text,0.029550015926361084,0.0017126202583312988
20,audio,0.009900867938995361,0.0022050142288208008
20,vision,0.01749974489212036,0.007282614707946777
