position,text_piece,start_seconds,end_seconds,audio_mfcc0,visual_dct0,text_feature_norm
1,They,1.4451189591078066,1.6056877323420073,-477.75,13.4609375,12.356823921203613
2,',1.4451189591078066,1.6056877323420073,-477.75,13.4609375,14.600152015686035
3,ve,1.4451189591078066,1.6056877323420073,-477.75,13.4609375,14.84360408782959
4,been,1.6257588289962825,1.746185408921933,-420.5,13.4609375,14.161017417907715
5,able,1.766256505576208,1.9067541821561338,-477.75,13.3671875,14.113122940063477
6,to,1.9669674721189592,2.0271807620817843,-605.5,13.4765625,14.136737823486328
7,find,2.187749535315985,2.388460501858736,-460.5,13.3671875,13.195317268371582
8,solutions,2.448673791821561,2.9303801115241637,-523.0,13.59375,13.266173362731934
9,or,3.030735594795539,3.070877788104089,-465.25,13.5859375,14.472992897033691
10,at,3.1712332713754647,3.251517657992565,-516.0,13.6171875,17.139081954956055
11,least,3.27158875464684,3.412086431226766,-577.5,13.5390625,16.817590713500977
12,bring,3.472299721189591,3.7332239776951672,-488.5,13.4375,12.65585708618164
13,some,3.8135083643122676,3.9740771375464683,-512.0,13.453125,13.363746643066406
14,answers,4.074432620817844,4.355427973977695,-522.5,13.6640625,13.66223430633545
15,to,4.3955701672862455,4.4357123605947955,-523.0,13.5625,15.019206047058105
16,the,4.475854553903345,4.576210037174721,-596.0,13.5859375,14.894121170043945
17,table,4.616352230483272,4.877276486988848,-519.5,13.4921875,14.45979118347168
18,.,4.616352230483272,4.877276486988848,-519.5,13.4921875,14.6654691696167
