sample_id,label,annotation,text_dim,audio_dim,vision_dim,max_length,duration,valid_length,alignment,face_detection_rate,status
-3g5yACwYnA$_$13,0.6666666865348816,Positive,768,32,35,50,5.399125,18,ctc_forced_alignment,1.0,ok
-3g5yACwYnA$_$3,0.0,Neutral,768,32,35,50,14.327875,40,ctc_forced_alignment,1.0,ok
-3g5yACwYnA$_$2,0.0,Neutral,768,32,35,50,9.2313125,17,ctc_forced_alignment,1.0,ok
-3g5yACwYnA$_$9,0.6666666865348816,Positive,768,32,35,50,8.696125,28,ctc_forced_alignment,1.0,ok
-3nNcZdcdvU$_$5,0.0,Neutral,768,32,35,50,7.7885625,22,ctc_forced_alignment,0.975,ok
-HwX2H8Z4hY$_$2,0.0,Neutral,768,32,35,50,3.9158125,12,ctc_forced_alignment,0.15,ok
-HwX2H8Z4hY$_$5,-1.0,Negative,768,32,35,50,5.5440625,10,ctc_forced_alignment,0.25,ok
-HwX2H8Z4hY$_$6,0.0,Neutral,768,32,35,50,3.256,9,ctc_forced_alignment,0.5294117647058824,ok
-HwX2H8Z4hY$_$9,-0.3333333432674408,Negative,768,32,35,50,7.6363125,24,ctc_forced_alignment,0.358974358974359,ok
-NFrJFQijFE$_$1,0.3333333432674408,Positive,768,32,35,50,5.658875,16,ctc_forced_alignment,0.0,ok
-NFrJFQijFE$_$2,0.0,Neutral,768,32,35,50,6.6983125,18,ctc_forced_alignment,0.23529411764705882,ok
-THoVjtIkeU$_$12,2.0,Positive,768,32,35,50,14.8055625,42,ctc_forced_alignment,1.0,ok
-THoVjtIkeU$_$2,1.3333333730697632,Positive,768,32,35,50,4.230875,11,ctc_forced_alignment,1.0,ok
-THoVjtIkeU$_$6,2.6666667461395264,Positive,768,32,35,50,7.982875,32,ctc_forced_alignment,0.8536585365853658,ok
-UuX1xuaiiE$_$1,1.6666666269302368,Positive,768,32,35,50,10.2675,33,ctc_forced_alignment,1.0,ok
-UuX1xuaiiE$_$0,2.6666667461395264,Positive,768,32,35,50,3.575875,12,ctc_forced_alignment,1.0,ok
-UuX1xuaiiE$_$3,0.3333333432674408,Positive,768,32,35,50,4.038375,9,ctc_forced_alignment,1.0,ok
-UuX1xuaiiE$_$6,-0.3333333432674408,Negative,768,32,35,50,7.9438125,23,ctc_forced_alignment,1.0,ok
-a55Q6RWvTA$_$3,0.6666666865348816,Positive,768,32,35,50,22.0833125,48,ctc_forced_alignment,1.0,ok
-aNfi7CP8vM$_$7,0.0,Neutral,768,32,35,50,8.5376875,23,ctc_forced_alignment,1.0,ok
-aqamKhZ1Ec$_$0,-2.0,Negative,768,32,35,50,10.8901875,16,ctc_forced_alignment,1.0,ok
-dxfTGcXJoc$_$1,1.6666666269302368,Positive,768,32,35,50,16.018125,42,ctc_forced_alignment,1.0,ok
-dxfTGcXJoc$_$0,1.0,Positive,768,32,35,50,20.410375,48,ctc_forced_alignment,0.7766990291262136,ok
-dxfTGcXJoc$_$2,0.6666666865348816,Positive,768,32,35,50,16.6331875,40,ctc_forced_alignment,1.0,ok
