modality,rate,position,mae,pearson,accuracy,macro_f1
text,0.2,middle,0.6080114841461182,0.6056447402985894,0.6153846153846154,0.5824783388477808
text,0.5,middle,0.6602424383163452,0.487110875866744,0.5494505494505495,0.5240258077378318
text,0.7,middle,0.705181896686554,0.38674105972759604,0.4848901098901099,0.46968050105454445
audio,0.2,middle,0.5949290990829468,0.6534972664163495,0.6236263736263736,0.5888753934986234
audio,0.5,middle,0.5937208533287048,0.6515851835586508,0.6263736263736264,0.5917752203226062
audio,0.7,middle,0.5937973856925964,0.6509525984467104,0.6263736263736264,0.5904421519634048
vision,0.2,middle,0.5952355265617371,0.6529187350894012,0.6291208791208791,0.5987509134947825
vision,0.5,middle,0.5945264101028442,0.6502547950612696,0.6277472527472527,0.5960177429457829
vision,0.7,middle,0.5960922837257385,0.6481086588979696,0.6153846153846154,0.5846468423812964
text,0.5,front,0.6485004425048828,0.5047433681176482,0.5686813186813187,0.5437279415140926
text,0.5,back,0.6589349508285522,0.5084152097061946,0.5631868131868132,0.5359389473839601
