sample_id,kind,modality,start_index,end_index_exclusive,delta_target_probability,delta_score
01,modality,text,-1,-1,0.30571022629737854,0.2872281074523926
01,modality,audio,-1,-1,0.034271180629730225,-0.03531140089035034
01,modality,vision,-1,-1,0.06345760822296143,0.04911971092224121
01,window,text,1,5,0.07813608646392822,-0.02717667818069458
01,window,text,5,9,0.023573577404022217,0.05266037583351135
01,window,text,9,13,0.04822307825088501,0.005375295877456665
01,window,text,13,17,0.059875547885894775,-0.00199204683303833
01,window,text,17,21,0.08105051517486572,-0.04409313201904297
01,window,text,21,23,0.04180198907852173,-0.012976765632629395
01,window,audio,1,5,-0.011621236801147461,0.03645133972167969
01,window,audio,5,9,0.009741365909576416,-0.02662128210067749
01,window,audio,9,13,0.013792753219604492,-0.013708114624023438
01,window,audio,13,17,0.009349942207336426,-0.0018714368343353271
01,window,audio,17,21,0.008184552192687988,-0.016293734312057495
01,window,audio,21,23,0.003524184226989746,-0.010043799877166748
01,window,vision,1,5,0.011436820030212402,0.021484851837158203
01,window,vision,5,9,0.020830392837524414,-0.004676252603530884
01,window,vision,9,13,0.00729525089263916,0.0023686587810516357
01,window,vision,13,17,0.0042435526847839355,0.020067691802978516
01,window,vision,17,21,0.010771214962005615,0.00895237922668457
01,window,vision,21,23,0.004017829895019531,-0.0010758042335510254
02,modality,text,-1,-1,0.2722066640853882,0.12645223736763
02,modality,audio,-1,-1,-0.20179477334022522,-0.19337564706802368
02,modality,vision,-1,-1,0.16610735654830933,0.12287640571594238
02,window,text,1,5,0.3082980215549469,0.5713768005371094
02,window,text,5,9,-0.2329351007938385,-0.3157539367675781
02,window,text,9,13,0.29774075746536255,0.4926873445510864
02,window,text,13,17,-0.21235325932502747,-0.2808712422847748
02,window,text,17,20,-0.10067340731620789,-0.19352126121520996
02,window,audio,1,5,-0.061565905809402466,-0.05032163858413696
02,window,audio,5,9,-0.06682273745536804,-0.06179402023553848
02,window,audio,9,13,-0.09316655993461609,-0.11833802610635757
02,window,audio,13,17,-0.005327075719833374,0.0044297873973846436
02,window,audio,17,20,0.0061684250831604,0.023484647274017334
02,window,vision,1,5,0.042856842279434204,0.03454456478357315
02,window,vision,5,9,0.048447608947753906,0.045838937163352966
02,window,vision,9,13,0.11772799491882324,0.14707762002944946
02,window,vision,13,17,-0.024619340896606445,-0.05364205688238144
02,window,vision,17,20,-0.024122178554534912,-0.058242134749889374
03,modality,text,-1,-1,0.26026564836502075,-0.23589378595352173
03,modality,audio,-1,-1,0.012974739074707031,-0.11657929420471191
03,modality,vision,-1,-1,-0.0384182333946228,-0.10297726094722748
03,window,text,1,5,0.06418818235397339,-0.03559136390686035
03,window,text,5,9,0.1391611099243164,-0.019132912158966064
03,window,text,9,13,0.08639347553253174,-0.009163379669189453
03,window,text,13,17,0.11746132373809814,0.00873681902885437
03,window,text,17,21,-0.08497202396392822,-0.21052542328834534
03,window,text,21,25,-0.015720844268798828,-0.13365459442138672
03,window,text,25,29,-0.07116484642028809,-0.1553894728422165
03,window,text,29,33,-0.03257185220718384,-0.11276157200336456
03,window,text,33,34,0.045249104499816895,0.04072567820549011
03,window,audio,1,5,0.016232550144195557,-0.005109846591949463
03,window,audio,5,9,-0.0002945065498352051,0.002218008041381836
03,window,audio,9,13,0.0032252073287963867,-0.016118228435516357
03,window,audio,13,17,0.02232760190963745,0.01750814914703369
03,window,audio,17,21,0.004427134990692139,-0.007033407688140869
03,window,audio,21,25,-0.016903281211853027,-0.045112162828445435
03,window,audio,25,29,-0.01550823450088501,-0.048378124833106995
