modality,rate,position,mae,pearson,accuracy,macro_f1
text,0.2,middle,0.6209906935691833,0.5953889454491653,0.592032967032967,0.5725138944906537
text,0.5,middle,0.672844409942627,0.5050681631464622,0.5233516483516484,0.5126807542732971
text,0.7,middle,0.7196459174156189,0.4022392826997699,0.4766483516483517,0.46983533053968357
audio,0.2,middle,0.6051744818687439,0.6409264253719926,0.6098901098901099,0.5941498332961347
audio,0.5,middle,0.6034247279167175,0.6425786489948087,0.6071428571428571,0.5914001756308931
audio,0.7,middle,0.6044368743896484,0.6423083188482469,0.6057692307692307,0.5901115637553974
vision,0.2,middle,0.6065866351127625,0.6371780045600562,0.6112637362637363,0.5984152298083596
vision,0.5,middle,0.6040282249450684,0.6364528328068394,0.6002747252747253,0.587314234785799
vision,0.7,middle,0.604301929473877,0.6347941794418099,0.5879120879120879,0.5760818780490912
text,0.5,front,0.6688892841339111,0.49664510380923954,0.5425824175824175,0.5259238774070143
text,0.5,back,0.6699250936508179,0.49542207086962936,0.5343406593406593,0.5276401366133096
