modality,rate,position,mae,pearson,accuracy,macro_f1
text,0.2,middle,0.6208233833312988,0.6111097485604529,0.5824175824175825,0.5537088294110636
text,0.5,middle,0.6887466907501221,0.4980433586047045,0.5137362637362637,0.4823640996811555
text,0.7,middle,0.734162449836731,0.395502214251387,0.46291208791208793,0.43342451799525156
audio,0.2,middle,0.5958022475242615,0.6604475306907502,0.6153846153846154,0.5905811944003062
audio,0.5,middle,0.5953064560890198,0.6601578652781487,0.6167582417582418,0.5955086378485054
audio,0.7,middle,0.5942784547805786,0.661819636771586,0.6016483516483516,0.5846263354997413
vision,0.2,middle,0.5925962924957275,0.6627427247740676,0.6153846153846154,0.592503151775781
vision,0.5,middle,0.587632417678833,0.6629782021113083,0.6167582417582418,0.5946911032963148
vision,0.7,middle,0.5871362090110779,0.6608415584959552,0.6208791208791209,0.5997506940345815
text,0.5,front,0.6774559617042542,0.508695673679076,0.5192307692307693,0.4818990741547606
text,0.5,back,0.6814671754837036,0.5042227036733046,0.5288461538461539,0.4968910751028807
